id,name,country_or_region,url,model,year_founded,beneficiaries_estimate,revenue_annual_usd_estimate,funding_sources,digital_signals,innovations,notes
0014,Ronald McDonald House Charities,Global,https://www.rmhc.org,health,1974,1M,USD 500M,individuals;foundations;corporate;events,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,house-near-hospital lodging model; McDonalds tie-in,founded Philadelphia 1974; 380+ houses in 60+ countries
0015,St. Jude Children's Research Hospital,USA,https://www.stjude.org,health,1962,8k,USD 1B+,individuals;foundations;corporate;events;earned-income,online-donation;recurring-giving;annual-report;charity-rating;mobile-app;email-newsletter;tiktok,no-cost pediatric cancer treatment + ALSAC fundraising,founded Danny Thomas 1962 Memphis; ALSAC raises funds
0016,KIND (Kids In Need of Defense),USA,https://www.supportkind.org,rights,2008,15k,USD 50M,foundations;individuals;corporate;government,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,pro bono legal representation for migrant children,co-founded by Angelina Jolie + Microsoft; HQ Washington DC
0017,Together for Girls,Global,https://www.togetherforgirls.org,rights,2002,unknown,USD 20M,foundations;government;multilateral;corporate,online-donation;annual-report;charity-rating;multiling-site;email-newsletter,Violence Against Children Surveys + partnerships,public-private partnership; UN+US Govt+private foundations
0018,Girls Inc.,USA,https://girlsinc.org,education,1944,130k,USD 100M,individuals;foundations;corporate;events,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,girls-only programming model,founded 1944; merged with Girls Incorporated 1990
0019,Girl Scouts of the USA,USA,https://www.girlscouts.org,education,1912,2.5M,USD 800M,individuals;foundations;corporate;earned-income,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter;tiktok,cookie sales as entrepreneurship training,founded 1912 by Juliette Gordon Low; cookie sales pioneer
0020,Boy Scouts of America (Scouting America),USA,https://www.scouting.org,education,1910,1M,USD 300M,individuals;foundations;corporate;earned-income;events,online-donation;recurring-giving;annual-report;charity-rating;mobile-app;email-newsletter,rank advancement + popcorn sales,renamed Scouting America 2024 after bankruptcy reorganization
0021,4-H,USA,https://4-h.org,education,1902,6M,USD 60M,foundations;government;corporate;individuals,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,youth development via head-heart-hands-health,USDA-affiliated cooperative extension network
0022,National CASA/GAL Association,USA,https://nationalcasagal.org,rights,1977,300k,USD 100M,individuals;foundations;corporate;government,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,court-appointed volunteer advocates for foster kids,founded 1977; 950+ local programs
0023,FosterClub,USA,https://www.fosterclub.com,foster,1981,100k,USD 5M,foundations;individuals;corporate;government,online-donation;recurring-giving;annual-report;email-newsletter,youth-led foster advocacy organization,founded by foster youth; HQ Portland OR
0024,Baby2Baby,USA,https://baby2baby.org,emergency,2011,1M,USD 200M,individuals;foundations;corporate;events,online-donation;recurring-giving;annual-report;charity-rating;mobile-app;email-newsletter;tiktok,diaper/clothing distribution to low-income kids,co-founded Kelly Sawyer Patricof + Norah Weinstein 2011 LA
0025,Parents Action for Children,USA,https://www.parentsaction.org,education,1981,unknown,USD 5M,foundations;corporate;individuals,online-donation;recurring-giving;annual-report;multiling-site;email-newsletter,parent-led advocacy + media campaigns,formerly I Am Your Child Foundation; founded Rob Reiner
0026,Stand for Children,USA,https://stand.org,rights,1999,unknown,USD 50M,foundations;individuals;corporate,online-donation;recurring-giving;annual-report;email-newsletter,education advocacy + parent organizing,founded 1999 by Jonah Edelman; HQ Portland
0027,Childhelp,USA,https://childhelp.org,rights,1959,unknown,USD 30M,individuals;foundations;corporate;events,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,child abuse hotline + prevention programs,founded 1959 by Sara O'Meara + Yvonne Fedderson
0028,Covenant House,USA,https://www.covenanthouse.org,residential care,1968,80k,USD 200M,individuals;foundations;corporate;government;earned-income,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,shelter for homeless youth; rights-based model,founded by Father Bruce Ritter 1968 NYC; 30+ sites
0029,Boys Town,USA,https://www.boystown.org,residential care,1917,300k,USD 500M,individuals;foundations;corporate;government;earned-income,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,long-term residential care + parent training,founded Father Edward Flanagan 1917 Nebraska
0030,Hole in the Wall Gang Camp,USA,https://www.holeinthewallgang.org,health,1988,20k,USD 30M,individuals;foundations;corporate;events,online-donation;recurring-giving;annual-report;charity-rating;email-newsletter,free camps for seriously ill children,founded by Paul Newman 1988 Connecticut
0031,SeriousFun Children's Network,Global,https://www.seriousfunnetwork.org,health,1988,300k,USD 200M,foundations;individuals;corporate,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,global network of camps for kids with serious illnesses,founded Paul Newman; 30+ camps worldwide
0032,National Children's Alliance,USA,https://www.nationalchildrensalliance.org,rights,1984,300k,USD 30M,foundations;government;individuals,online-donation;annual-report;charity-rating;email-newsletter,accrediting body for Childrens Advocacy Centers,founded 1984; HQ Washington DC
0033,Prevent Child Abuse America,USA,https://preventchildabuse.org,prevention,1972,1M,USD 30M,foundations;individuals;corporate;government,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,pinwheel prevention symbol + Healthy Families America,founded 1972 as NCPCA; HQ Chicago
0034,Nurse-Family Partnership,USA,https://www.nursefamilypartnership.org,prevention,1996,300k,USD 150M,foundations;government;individuals,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,nurse home visiting for low-income first-time moms,founded David Olds 1996; HQ Denver
0035,Parents as Teachers,USA,https://parentsasteachers.org,education,1981,500k,USD 80M,foundations;government;corporate,online-donation;annual-report;charity-rating;multiling-site;email-newsletter,parent educator home visit model,founded 1981 in Missouri; 50-state network
0036,Reach Out and Read,USA,https://reachoutandread.org,education,1989,4M,USD 100M,foundations;corporate;government;individuals,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,book distribution at pediatric visits,founded 1989 at Boston Medical Center
0037,Teach For America,USA,https://www.teachforamerica.org,education,1990,60k,USD 300M,individuals;foundations;corporate,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter;tiktok,2-year teaching corps model,founded Wendy Kopp 1990; HQ NYC
0038,City Year,USA,https://www.cityyear.org,education,1988,3M,USD 200M,individuals;foundations;corporate;government,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,AmeriCorps youth service corps in schools,founded 1988; co-founded by Michael Brown + Alan Khazei
0039,Reading Is Fundamental,USA,https://www.rif.org,education,1966,15M,USD 50M,foundations;corporate;government;individuals,online-donation;recurring-giving;annual-report;charity-rating;email-newsletter,largest childrens literacy nonprofit,founded 1966 by Margaret McNamara
0040,Raising A Reader,USA,https://www.raisingareader.org,education,1999,200k,USD 20M,foundations;corporate;government,online-donation;recurring-giving;annual-report;email-newsletter,rotating book bag model for families,founded 1999; HQ Redwood City CA
0041,KaBOOM!,USA,https://www.kaboom.org,mixed,1996,unknown,USD 30M,foundations;corporate;individuals,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,community-built playgrounds model,founded 1996 by Darell Hammond; HQ DC
0042,First Book,USA,https://firstbook.org,education,1992,5M,USD 200M,foundations;corporate;individuals;earned-income,online-donation;recurring-giving;annual-report;email-newsletter,affordable books marketplace for low-income kids,founded 1992; HQ Washington DC
0043,Room to Read,Global,https://roomtoread.org,education,2000,23M,USD 100M,individuals;foundations;corporate,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,literacy + gender equality school programs,founded 2000 by John Wood; HQ San Francisco
0044,Concern Worldwide US,USA,https://concernusa.org,emergency,1968,30M,USD 100M,government;multilateral;individuals,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,rapid response humanitarian model,founded 1968 Ireland
0045,Mercy Corps,Global,https://www.mercycorps.org,emergency,1979,40M,USD 600M,government;multilateral;individuals;foundations;corporate,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,community-led humanitarian response,founded 1979 Dan O'Neill; HQ Portland OR
0046,Oxfam America,USA,https://www.oxfamamerica.org,rights,1970,unknown,USD 100M,individuals;foundations;corporate;events;merchandise,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,global advocacy + emergency response,part of Oxfam confederation; HQ Boston
0047,CARE USA,USA,https://www.care.org,emergency,1945,100M,USD 700M,government;individuals;foundations;corporate,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,humanitarian + womens empowerment focus,founded 1945 to send CARE packages post-WWII
0048,Direct Relief,USA,https://www.directrelief.org,health,1948,100M,USD 2B+,foundations;corporate;donations-in-kind;individuals,online-donation;annual-report;charity-rating;multiling-site;email-newsletter,medical supply donations-in-kind model,founded 1948; HQ Santa Barbara
0049,International Medical Corps,Global,https://internationalmedicalcorps.org,emergency,1984,40M,USD 500M,government;multilateral;foundations;corporate,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,rapid deployment medical emergency teams,founded 1984 by Bob Simon + Abbe Somerson
0050,Good+Foundation,USA,https://goodplusfoundation.org,emergency,2001,5M,USD 30M,individuals;foundations;corporate;donations-in-kind,online-donation;recurring-giving;annual-report;email-newsletter,donations-in-kind baby goods model,founded 2001 by Jessica Seinfeld
0051,Harlem Children's Zone,USA,https://hcz.org,mixed,1972,40k,USD 100M,foundations;government;individuals;corporate,online-donation;recurring-giving;annual-report;charity-rating;email-newsletter,place-based cradle-to-career pipeline model,founded 1972 by Geoff Canada; 97-block zone
0052,StriveTogether,USA,https://strivetogether.org,education,2004,unknown,USD 10M,foundations;corporate,online-donation;annual-report;email-newsletter,community cradle-to-career collective impact,formerly Strive; HQ Cincinnati
0053,United Way Worldwide,Global,https://www.unitedway.org,emergency,1887,50M,USD 5B+,individuals;foundations;corporate;events,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,workplace giving model + federated fundraising,founded 1887; HQ Washington DC
0054,Goodwill Industries International,USA,https://www.goodwill.org,education,1902,20M,USD 6B+,earned-income;individuals;government;corporate,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,thrift store social enterprise model,founded 1902 Boston
0055,Habitat for Humanity International,Global,https://www.habitat.org,mixed,1976,100M,USD 2B+,individuals;foundations;corporate;government;earned-income;events,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,sweat equity housing model; ReStore thrift stores,founded 1976 by Millard Fuller
0056,Junior Achievement USA,USA,https://www.ja.org,education,1919,5M,USD 200M,foundations;corporate;individuals,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,in-school K-12 financial literacy,founded 1919; HQ Colorado Springs
0057,FIRST (For Inspiration and Recognition of Science and Technology),USA,https://www.firstinspires.org,education,1989,800k,USD 100M,foundations;corporate;government,online-donation;annual-report;charity-rating;multiling-site;email-newsletter,robotics competition for K-12,founded 1989 by Dean Kamen + Woodie Flowers
0058,Code.org,USA,https://code.org,education,2013,unknown,USD 50M,foundations;corporate;individuals,online-donation;annual-report;charity-rating;email-newsletter,hour of code mass mobilization,founded 2013 by Hadi Partovi
0059,Khan Academy,USA,https://www.khanacademy.org,education,2008,100M,USD 80M,foundations;corporate;individuals,online-donation;annual-report;charity-rating;multiling-site;email-newsletter,free online learning platform,founded 2008 by Salman Khan
0060,National PTA,USA,https://www.pta.org,mixed,1897,unknown,USD 50M,individuals;foundations;corporate;events,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,parent advocacy + policy lobbying,founded 1897
0061,Moms Demand Action,USA,https://momsdemandaction.org,rights,2012,unknown,USD 50M,individuals;foundations,online-donation;recurring-giving;annual-report;email-newsletter,grassroots gun violence prevention,founded 2012 by Shannon Watts
0062,National Urban League,USA,https://nul.iamempowered.com,mixed,1910,3M,USD 200M,individuals;foundations;corporate;government,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,youth education + workforce programs,founded 1910; HQ NYC
0063,Children's Defense Fund,USA,https://www.childrensdefense.org,rights,1973,50M,USD 30M,foundations;individuals;corporate,online-donation;recurring-giving;annual-report;charity-rating;email-newsletter,child advocacy + cradle to prison pipeline,founded 1973 by Marian Wright Edelman
0064,National Foster Youth Institute,USA,https://nfyi.org,foster,2012,unknown,USD 5M,foundations;government;individuals,online-donation;recurring-giving;annual-report;email-newsletter,transition-aged youth foster advocacy,founded 2012; HQ Whittier CA
0065,National Youth Advocate Program,USA,https://www.nyap.org,mixed,1981,unknown,USD 50M,government;foundations;individuals,online-donation;annual-report;charity-rating,child welfare + juvenile justice programs,founded 1981; HQ Columbus OH
0066,YMCA of the USA,USA,https://www.ymca.org,mixed,1844,10M,USD 6B+,individuals;foundations;corporate;government;earned-income,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,youth development + swim programs,founded 1844 London; HQ Chicago
0067,YWCA USA,USA,https://www.ywca.org,mixed,1858,2M,USD 300M,individuals;foundations;corporate;government,online-donation;annual-report;charity-rating;multiling-site;email-newsletter,womens empowerment + anti-violence,founded 1858 London; HQ Washington DC
0068,Catholic Charities USA,USA,https://www.catholiccharitiesusa.org,mixed,1910,10M,USD 4B+,individuals;foundations;government;earned-income;donations-in-kind,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;email-newsletter,foster care + refugee resettlement,federated; 167+ agencies
0069,Salvation Army USA,USA,https://www.salvationarmy.org,mixed,1865,unknown,USD 4B+,individuals;foundations;government;corporate;earned-income;merchandise,online-donation;recurring-giving;annual-report;charity-rating;multiling-site;mobile-app;email-newsletter,thrift stores + disaster relief + youth programs,founded 1865 London
0070,Jewish Child & Family Services,USA,https://www.jcfs.org,mixed,1869,30k,USD 50M,individuals;foundations;government;corporate,online-donation;recurring-giving;annual-report;charity-rating;email-newsletter,adoption + family counseling,founded 1869 Chicago
0071,Child Advocates,USA,https://childadvocates.org,rights,1985,20k,USD 5M,foundations;individuals;government,online-donation;recurring-giving;annual-report;email-newsletter,CASA programs for abused children,founded 1985 Houston
0072,Hope for Haiti Children,Haiti,https://hopeforhaitichildren.org,mixed,1989,3k,USD 8M,individuals;foundations;corporate,online-donation;recurring-giving;sponsor-portal;annual-report;email-newsletter,Port-au-Prince care center model,founded by Donna and Eric Hansen
0073,Haiti Children Home,Haiti,https://www.haitianchildrenshome.org,residential care,2003,100,USD 1M,individuals;foundations;church groups,online-donation;recurring-giving;email-newsletter,small family-style home for orphans,founded 2003
0074,NPH (Nuestros Pequeños Hermanos),Latin America,https://www.nph-usa.org,residential care,1954,70k,USD 200M,individuals;foundations;corporate,online-donation;recurring-giving;sponsor-portal;annual-report;charity-rating;multiling-site;email-newsletter,orphan villages across 9 Latin American countries,founded 1954 Mexico by Father William Wasson
0075,Aldeas Infantiles SOS Argentina,Argentina,https://www.aldeasinfantiles.org.ar,residential care,1965,2k,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report;multiling-site,village model of family-like residential care,sister org of SOS Children's Villages International
0076,Aldeas Infantiles SOS Colombia,Colombia,https://www.aldeasinfantiles.org.co,residential care,1971,3k,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report;multiling-site,village model of family-like residential care,sister org of SOS Children's Villages International
0077,Aldeas Infantiles SOS Mexico,Mexico,https://www.aldeasinfantiles.org.mx,residential care,1955,4k,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report;multiling-site,village model of family-like residential care,oldest SOS in Latin America
0078,Aldeas Infantiles SOS Chile,Chile,https://www.aldeasinfantiles.cl,residential care,1968,1.5k,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0079,Aldeas Infantiles SOS Peru,Peru,https://www.aldeasinfantiles.pe,residential care,1975,2k,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0080,Aldeas Infantiles SOS Brasil,Brazil,https://www.aldeiasinfantis.org.br,residential care,1967,3k,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0081,Aldeas Infantiles SOS Uruguay,Uruguay,https://www.aldeasinfantiles.org.uy,residential care,1977,500,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0082,Fundación Cimientos,Argentina,https://www.cimientos.org,education,2002,10k,USD 20M,individuals;foundations;corporate;government;multilateral,online-donation;recurring-giving;annual-report;email-newsletter,scholarship + university transition program,founded 2002 Argentina
0083,Fundación Pelota de Trapo,Paraguay,https://www.pelotadetrapo.org.py,mixed,1998,2k,USD 500k,individuals;foundations;corporate,online-donation;recurring-giving;annual-report;email-newsletter,street children reintegration via football,founded 1998 by Aldo Salomon
0084,Fundación Paraguay,Paraguay,https://www.fundacionparaguaya.org,mixed,1960,50k,USD 10M,foundations;corporate;government;multilateral;individuals,online-donation;recurring-giving;annual-report;multiling-site,entrepreneurship + family farming schools,founded 1960 by Don Carter
0085,Fundación Itaú Paraguay,Paraguay,https://www.itau.com.py,education,1978,unknown,USD 10M,corporate;individuals,online-donation;recurring-giving;annual-report;multiling-site,education + cultural programs,sister to Itau Foundation LatAm
0086,Hogar Bambi Argentina,Argentina,https://www.hogarbambi.org.ar,residential care,1935,150,unknown,individuals;foundations;corporate;events,online-donation;recurring-giving;annual-report;email-newsletter,small-group home for at-risk children,founded 1935 by Mauricio Funes
0087,Casa Hogar Esperanza,Paraguay,https://www.casahogar.org.py,residential care,1962,100,unknown,individuals;foundations;events,online-donation;recurring-giving;email-newsletter,orphanage in Asuncion,founded 1962
0088,TECHO Paraguay,Paraguay,https://www.techo.org/paises/paraguay,mixed,2008,5k,USD 2M,individuals;foundations;corporate;multilateral,online-donation;recurring-giving;annual-report;multiling-site,youth-built emergency housing,TECHO HQ Chile 1997
0089,Aldeas Infantiles SOS Bolivia,Bolivia,https://www.aldeasinfantiles.org.bo,residential care,1973,1k,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0090,Aldeas Infantiles SOS Ecuador,Ecuador,https://www.aldeasinfantiles.org.ec,residential care,1971,1k,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0091,Aldeas Infantiles SOS Venezuela,Venezuela,https://www.aldeasinfantiles.org.ve,residential care,1974,1k,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0092,Aldeas Infantiles SOS Costa Rica,Costa Rica,https://www.aldeasinfantiles.org.cr,residential care,1970,500,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0093,Aldeas Infantiles SOS Guatemala,Guatemala,https://www.aldeasinfantiles.org.gt,residential care,1975,1k,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0094,Aldeas Infantiles SOS Honduras,Honduras,https://www.aldeasinfantiles.org.hn,residential care,1975,500,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0095,Aldeas Infantiles SOS Panama,Panama,https://www.aldeasinfantiles.org.pa,residential care,1980,300,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0096,Aldeas Infantiles SOS Republica Dominicana,Dominican Republic,https://www.aldeasinfantiles.org.do,residential care,1977,500,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0097,Aldeas Infantiles SOS Nicaragua,Nicaragua,https://www.aldeasinfantiles.org.ni,residential care,1972,500,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0098,Aldeas Infantiles SOS El Salvador,El Salvador,https://www.aldeasinfantiles.org.sv,residential care,1973,500,unknown,individuals;corporate;government;sponsorships;events,online-donation;recurring-giving;sponsor-portal;annual-report,village model of family-like residential care,sister org of SOS Children's Villages International
0099,Aldeas Infantiles SOS Perú,Peru,https://www.aldeasinfantiles.org.pe,residential care,1972,1.2k,USD 4M,individuals;corporate;foundations,online-donation;recurring-giving;sponsor-portal;annual-report,post-disaster programs (El Niño),
0100,Aldeas Infantiles SOS México,Mexico,https://www.aldeasinfantiles.org.mx,residential care,1971,3k,USD 12M,individuals;corporate;foundations;government,online-donation;recurring-giving;sponsor-portal;annual-report;multiling-site;mobile-app,largest individual-country SOS; Tijuana migration program,
0101,Aldeas Infantiles SOS Panamá,Panama,https://www.aldeasinfantiles.org.pa,residential care,1979,300,USD 1M,individuals;corporate,online-donation,small operations,
0102,Aldeas Infantiles SOS Rep. Dominicana,Dominican Republic,https://www.aldeasinfantiles.org.do,residential care,1975,800,USD 2.5M,individuals;corporate;foundations,online-donation;recurring-giving,tourism-haitian migration youth,
0103,Aldeas Infantiles SOS Cuba,Cuba,https://www.aldeasinfantiles.org.cu,residential care,1990,200,unknown,government;foundations,recurring-giving,state-constrained operations,
0104,Aldeas Infantiles SOS Puerto Rico,Puerto Rico,https://www.aldeasinfantiles.org.pr,residential care,1992,300,USD 1M,individuals;corporate;foundations,online-donation;recurring-giving,hurricane recovery,
0105,Aldeas Infantiles SOS Haiti,Haiti,https://www.aldeasinfantiles.org.ht,residential care,1982,1k,USD 2M,individuals;foundations;multilateral,online-donation,earthquake-response permanent,
0106,Aldeas Infantiles SOS Spain,Spain,https://www.aldeasinfantiles.es,residential care,1964,30k,USD 75M,individuals;corporate;foundations;government;events;merchandise,online-donation;recurring-giving;sponsor-portal;annual-report;multiling-site;email-newsletter;whatsapp-business,63 programs in Spain + international,Pedro Puig president since 2021
0107,Aldeas Infantiles SOS USA,USA,https://www.sos-usa.org,residential care,1963,3k,USD 50M,individuals;corporate;foundations;events,online-donation;recurring-giving;sponsor-portal;annual-report;charity-rating;multiling-site,sponsorship model for international programs,HQ Washington DC
0108,Aldeas Infantiles SOS UK,UK,https://www.soschildren.org.uk,residential care,1963,3k,USD 30M,individuals;corporate;foundations;events,online-donation;recurring-giving;annual-report;charity-rating,charity navigator rated,
0109,Aldeas Infantiles SOS Germany,Germany,https://www.sos-kinderdorf.de,residential care,1957,5k,USD 60M,individuals;corporate;foundations;government,online-donation;recurring-giving;annual-report;multiling-site,village model origin country for SOS,
0110,Aldeas Infantiles SOS Italy,Italy,https://www.sosvillaggideibambini.it,residential care,1960,2k,USD 25M,individuals;corporate;foundations;government,online-donation;recurring-giving;multiling-site,foster care focus,
0111,Aldeas Infantiles SOS France,France,https://www.sosve.org,residential care,1960,3k,USD 30M,individuals;corporate;foundations;government,online-donation;recurring-giving;multiling-site,foster care + emergency response,
0112,Aldeas Infantiles SOS Netherlands,Netherlands,https://www.sos-kinderdorpen.nl,residential care,1960,1.5k,USD 18M,individuals;corporate;foundations,online-donation;recurring-giving;multiling-site,small-scale village network,
0113,Aldeas Infantiles SOS Sweden,Sweden,https://www.sos-barnbyar.se,residential care,1965,1k,USD 15M,individuals;corporate;foundations,online-donation;recurring-giving;multiling-site,monthly donor strong,
